,Topic,Direct Harassment,Direct Harassment_p-val,Hate Speech,Hate Speech_p-val,Others,Others_p-val,Sexual Harassment,Sexual Harassment_p-val,Toxic,Toxic_p-val,Trolling,Trolling_p-val
0,0,-0.023375372611701542,0.0007751541667983499,-0.011810771131492053,0.08945373792189648,0.0033164558580435336,0.6334602308182724,-0.015255219114289958,0.028262800990409807,-0.013333918992745799,0.05519727790090256,-0.012185191050318015,0.07975170177259802
1,1,-0.0010916731458571467,0.8752703128449553,0.008362857813795862,0.22917551712598913,0.011368899471069447,0.10210255397673935,0.00815754408186193,0.2408108067276703,0.013869167466510943,0.04612013342443292,0.02014096300146318,0.003776053129972534
2,10,-0.012772558681352526,0.06626987440403675,0.0038638992772620172,0.5784994746154339,-0.001266425043451203,0.8555084519600368,-0.010726017925467053,0.12300100286418603,-0.002433455918219332,0.7264151428443056,0.007857920933668605,0.25852729095724747
3,11,0.045641584869812186,5.166531435549043e-11,0.02785799126694215,6.165774015334245e-05,0.024542877380885703,0.00041640689212149725,0.0022786303032930485,0.7431867135751682,0.047998802729953716,5.000917420252624e-12,0.04372763210268309,3.1656105385842395e-10
4,12,0.011154784583208073,0.10872395071800543,0.017046140124428077,0.014238893097091022,0.010696697046351176,0.12402844758611747,0.0017289851511746014,0.8036666784823515,0.020342976515684598,0.003440756274965148,0.028435720682267556,4.3231536564915213e-05
5,13,0.026649167529085898,0.00012686525663263304,0.04902455732279922,1.7472273003990069e-12,0.011137840752749715,0.10926210833575425,0.0010954421763383622,0.874843223382857,0.025238940576800213,0.0002838695439384861,0.05470750357176561,3.4877962427364176e-15
6,14,-0.013934907326347546,0.04509727161503078,-0.006264184119105661,0.36774109879028793,-0.0028105771866082253,0.6861220578096819,0.004126163274908525,0.5529882443259406,-0.02422095792617487,0.0004955453299296171,0.007774264120019552,0.2636312497019922
7,15,0.027278623739689103,8.744504111917508e-05,0.06010667333434224,5.134737359105577e-18,0.024397978120095924,0.0004504426791843225,-0.00407118539206023,0.558290143717474,0.022996255262274126,0.000943063697758583,0.049994280783171495,6.338733885876947e-13
8,16,0.014995097902892116,0.031067204052103784,0.028180160297262044,5.06243336718528e-05,0.009868672730563586,0.15589479267252443,0.004039940161727481,0.5613143111062247,0.010576297819085471,0.12831775159617334,0.043500765531533744,3.9050569663350576e-10
9,17,0.0019864394755303703,0.7751668367545351,0.004605090165628143,0.5078735657159867,0.0036190714898908945,0.6028025084532078,0.005833948321314619,0.4015540611831627,-0.005275702752338769,0.4481044052888937,0.024292596217305406,0.00047680795885356793
10,18,-0.0028232642264318106,0.684781157157359,0.0024138526746083993,0.7285316316120691,9.864273679996838e-05,0.9886836043723579,-0.006060593867163764,0.38351484349520437,0.002518980635526328,0.7172059574949358,0.013142048488429387,0.05879433077285787
11,19,0.12777995274499343,5.3439440345241926e-76,0.10745891878720953,3.6913256282847396e-54,0.04155857691562771,2.2570451962211762e-09,0.009922625696846678,0.15364540710359845,0.1060266402012932,9.152663920496716e-53,0.09532682964399546,6.012571279886172e-43
12,2,-0.04798222374308458,5.085744166962043e-12,-0.04682236631972854,1.6268412074326385e-11,-0.01720969942291819,0.013334729416138915,-0.01157995924895301,0.09589374130004066,-0.034057487065660176,9.660988257984882e-07,-0.03570043284823631,2.8233929701106015e-07
13,20,0.009803978227392523,0.15862484976845245,0.004469217363227913,0.5204736641976919,0.004670243351484543,0.5018888947465024,-0.004140086278738007,0.5516494803201897,0.01731018819835731,0.012804734654352895,0.01844134056196197,0.008005503489278584
14,21,-0.013449117907325524,0.05312710227511656,-0.0015539102003813432,0.8231999762309214,0.009568186267001885,0.16888183071989868,-0.0005431609316341009,0.9377492180875325,-0.013497953766541069,0.05226928733119309,0.0026234907734877322,0.7060081270244756
15,22,0.04478031755144919,1.1788785103206038e-10,0.07961452420128481,1.9621150944207345e-30,0.025001570545145638,0.0003238371931829671,-0.002510767007957212,0.7180886325251222,0.02573391391060194,0.00021492329706779596,0.06356173700838297,5.769845504271832e-20
16,23,-0.00223356436272762,0.7480919047701615,0.011283934503409579,0.10469059114073423,0.0007315825982520472,0.9162238006770328,-0.011017715863981934,0.11313805020129966,-0.009984712485328126,0.15108754113747275,0.014165148334313713,0.04166442983685134
17,24,0.06275969275664664,1.6719837555450476e-19,0.06998338454009533,7.125669767115981e-24,0.0351437593703702,4.3094937489107007e-07,0.02667265847743288,0.00012513318601344394,0.05478893406629985,3.175221508691097e-15,0.07000780656174244,6.874678181904157e-24
18,25,0.00890216044881449,0.2005331532566603,0.03446201047311383,7.172374422899108e-07,0.016550049365823633,0.01732046986344307,-0.0018503114554140132,0.7902009594886237,0.01820958081746752,0.00883159105804181,0.03769249926979677,5.907076319599785e-08
19,26,-0.0020561492543442715,0.7675001304263646,-0.008529454408234802,0.2200327667748765,-0.008268766834992182,0.2344570957166461,0.0003580198680400157,0.9589443502027601,-0.017752992043001087,0.01068491196657178,0.006474259541188131,0.35189516609426974
20,27,0.04245723385231721,1.0118961766050952e-09,0.06477110234654931,1.1310985771406394e-20,0.022962784885068824,0.0009594016452227426,0.009695043980753507,0.16330333397623506,0.04655673021303338,2.1150570306438705e-11,0.06223154634349486,3.3446314662083447e-19
21,28,0.005999994742467822,0.38828878957959456,0.015991669408352168,0.021474861861366042,0.0180130710563457,0.009590821286469608,-0.00534743451762094,0.441956643693439,0.008448658812352681,0.22443358076629563,0.02145494424101347,0.0020335914202527145
22,29,0.03191817509096052,4.420460125797795e-06,0.035301179204280254,3.826179653674393e-07,0.008014828621279786,0.24913987707769944,0.007191708996758598,0.3010975513507999,0.015941937229617363,0.02188385040609614,0.045152156638752994,8.271731974411199e-11
23,3,0.0014231543975889245,0.8378610518493468,0.04880956316302979,2.1819550787457223e-12,0.010079526486151605,0.14724415450708028,0.0014287501030822874,0.8372324371059029,0.012458029513675875,0.07323498605742612,0.008308662948297744,0.23220718577528868
24,30,-0.0029731264958278167,0.6690182418925495,0.039942424868273665,9.166810677854495e-09,0.008603089374172111,0.2160762135003222,-0.0012401785661734794,0.8584710793724325,0.013012464261404831,0.06133215054276035,0.03337956718224951,1.5798398040755222e-06
25,31,0.06947212074205468,1.5052539806666288e-23,0.08904921421425681,1.1201285341769149e-37,0.034992512608200965,4.8290052832558e-07,0.009944269318259648,0.15275001626559198,0.06186812049796786,5.371508157998393e-19,0.07773236477540862,4.3734094788678205e-29
26,32,0.030882375302338068,8.932490962020644e-06,0.023456006684738587,0.000743225142406994,0.010398211866256465,0.13487247467446836,0.01130463654150763,0.10405525616683306,0.03259047346503814,2.7682135900229694e-06,0.02802489043268591,5.5685131771259695e-05
27,33,0.06086691242104002,1.953363802045621e-18,0.13547540427940105,2.798494396614133e-85,0.04907962021732101,1.6503244975470057e-12,-0.004262358507721948,0.5399612815678816,0.04561120397296055,5.320452898864056e-11,0.11155437202371456,2.9871723705762002e-58
28,34,0.03546575270383962,3.376957620677959e-07,0.034855857880231045,5.349934648380538e-07,0.022718429328962137,0.0010868580801256824,0.003985858192416451,0.5665674563046059,0.03771698114982018,5.791711879451848e-08,0.03568941589826575,2.847293421691662e-07
29,35,0.03894263937477742,2.124524438065469e-08,0.037831106484716145,5.2821153865022113e-08,0.008744369449500487,0.20862889391865297,-0.006352614728315286,0.36101738956767515,0.028083890008887925,5.3708133301879e-05,0.060399794712495736,3.542396170498131e-18
30,36,0.0024537031673979113,0.7242313135227998,0.02638455571437553,0.00014800202602349103,0.0011870757970281489,0.8644712248159748,-0.009179366405815148,0.18687009906554947,0.0007004256382308649,0.9197793843518833,0.032613181204252946,2.724366245138453e-06
31,37,0.030734927480254578,9.856137916072583e-06,0.03274368381210983,2.4850092609132735e-06,0.025611218501510255,0.00023037273246042145,0.0007396584749888071,0.9153024647353885,0.015325100120748251,0.027547642270980853,0.04454816682412221,1.4686439221609517e-10
32,38,0.006736389134745449,0.3327390851304012,0.005132369117068035,0.46053315100723435,0.0025507680241042122,0.7137935020472792,-0.0021642201868664486,0.7556595469979319,0.012233089927279816,0.07857469802885333,0.033966128971788974,1.0328537150059678e-06
33,39,0.025878104943243687,0.0001980113846545568,0.03422134785048783,8.566311096894635e-07,0.023258950562213672,0.0008235057134470177,-0.008321290784050773,0.23149825200486793,0.012118885548188968,0.08140461197100936,0.0533211928799809,1.6891954463649535e-14
34,4,-0.0040352623648135105,0.5617677473830909,-0.02464265906319835,0.00039438207570289836,0.005060396176844956,0.4668460505543123,-0.011975725238221534,0.0850682570172739,-0.017358187046007344,0.012558223477853339,0.010231310003865709,0.14124766018794524
35,40,0.01809148378930762,0.009281154406089986,0.03163385732662356,5.373423729897528e-06,0.019311591096780406,0.005486298182398245,0.014841691184588397,0.03283055388905108,0.023576086856167376,0.0006979338645603625,0.045561680722739,5.581023115485215e-11
36,41,0.054061437235034246,7.311006586972214e-15,0.07687784810765902,1.7468433507408538e-28,0.02366573445063808,0.0006658079447811245,0.006599417638295223,0.3426632472370199,0.033050834706172864,1.9986991606868467e-06,0.06671739530758818,7.708875266575169e-22
37,42,0.05662092663617808,3.704513608682067e-16,0.08159085797339513,6.958765921573416e-32,0.04141674067280999,2.5578741421716533e-09,0.021373073690981622,0.002115592703372144,0.06852875797836955,5.89788387236246e-23,0.08650179236892917,1.2162850507236091e-35
38,43,-0.0007742333297695481,0.9113592957138201,0.0017057484090817786,0.8062524653240433,0.003633068316952925,0.6014007844284986,0.011835509632467524,0.08878466510734578,0.001183565005196707,0.8648681928577459,0.016503646756154507,0.0176366265478311
39,44,0.06689676362266729,5.994737180045798e-22,0.08368454759283314,1.8512403654785883e-33,0.022839392349576715,0.0010219246915716617,0.004353169550377595,0.5313614416537009,0.04843643112539109,3.2014396224754907e-12,0.0988631611729447,4.4771750247427976e-46
